Manor Park,51.55285435,0.04572387,Elizabeth
Mansion House,51.51209175,-0.094197658,Circle
Marble Arch,51.51396549,-0.158571216,Central
Maryland,51.54566827,0.005681654,Elizabeth
Marylebone,51.52239667,-0.163492564,Bakerloo
Maze Hill,51.48301366,0.003204897,Southeastern
Meridian Water,51.60831179,-0.050959907,Greater Anglia
Merton Park,51.41339161,-0.201342031,Tramlink
Mile End,51.52531097,-0.032666084,Central
Mill Hill Broadway,51.61287113,-0.249537068,Thameslink
Mill Hill East,51.60831664,-0.209895713,Northern
Mitcham,51.39748861,-0.170871647,Tramlink
Mitcham Eastfields,51.40838391,-0.154001719,Southern
Mitcham Junction,51.39304257,-0.157436644,Southern
Monument,51.51063042,-0.086188314,Circle
Moor Park,51.62993067,-0.432913027,Metropolitan
Moorgate,51.51843714,-0.089017688,Circle
Morden,51.40218596,-0.194851982,Northern
Morden Road,51.40887189,-0.192805677,Tramlink
Morden South,51.3963077,-0.200301562,Southern
Mornington Crescent,51.53436222,-0.13874435,Northern
Mortlake,51.46816794,-0.267203314,South Western
Motspur Park,51.39531963,-0.239439746,South Western
Mottingham,51.43982498,0.050324202,Southeastern
Mudchute,51.49123619,-0.014959945,DLR
Neasden,51.55462772,-0.250115045,Jubilee
New Addington,51.34259051,-0.017383327,Tramlink
New Barnet,51.64853677,-0.172969714,Great Northern
New Beckenham,51.41670555,-0.035304949,Southeastern
New Cross,51.47642942,-0.032278812,Overground
New Cross Gate,51.47526493,-0.039529052,Overground
New Eltham,51.43769066,0.070444618,Southeastern
New Malden,51.40355591,-0.256218106,South Western
New Southgate,51.61409367,-0.143009776,Great Northern
Newbury Park,51.57563836,0.090303158,Central
Nine Elms,51.48000126,-0.128500984,Northern
Norbiton,51.41190935,-0.284199948,South Western
Norbury,51.4111885,-0.122799402,Southern
North Acton,51.52343243,-0.259729528,Central
North Dulwich,51.45448181,-0.087918681,Southern
North Ealing,51.51762229,-0.288993553,Piccadilly
North Greenwich,51.50025515,0.003586259,Jubilee
North Harrow,51.5846313,-0.362632993,Metropolitan
North Sheen,51.46541961,-0.286397467,South Western
North Wembley,51.56239629,-0.303948219,Bakerloo
Northfields,51.50049167,-0.315064819,Piccadilly
Northolt,51.5482129,-0.368440596,Central
Northolt Park,51.55761905,-0.359434196,Chiltern Railways
Northumberland Park,51.60201573,-0.054132026,Greater Anglia
Northwick Park,51.57850869,-0.318199392,Metropolitan
Northwood,51.61121361,-0.423837787,Metropolitan
Northwood Hills,51.60080265,-0.409311358,Metropolitan
Norwood Junction,51.39695432,-0.075209857,Overground
Notting Hill Gate,51.50937534,-0.195921618,Central
Nunhead,51.46657998,-0.053679743,Southeastern
Oakleigh Park,51.63767636,-0.166194967,Great Northern
Oakwood,51.64763796,-0.13185354,Piccadilly
Ockendon,51.52198965,0.290483475,C2C
Old Street,51.52558147,-0.087622958,Great Northern
Orpington,51.37352005,0.089028901,Southeastern
Osterley,51.48121681,-0.352096096,Piccadilly
Oval,51.4814126,-0.113321076,Northern
Oxford Circus,51.5152234,-0.140836171,Bakerloo
Paddington,51.51539379,-0.175736752,Bakerloo
Palmers Green,51.61878675,-0.1102725,Great Northern
Park Royal,51.52683402,-0.284928918,Piccadilly
Parsons Green,51.47496015,-0.201124492,District
Peckham Rye,51.46951136,-0.069983553,Overground
Penge East,51.41997535,-0.054495265,Southeastern
Penge West,51.41806293,-0.060645765,Overground
Perivale,51.53634182,-0.323070422,Central
